FG,FG Description,STOCK,WIP,Demand,Backlog,Overdue,WK.51,WK.52,WK.01,WK.02,WK.03,WK.04,WK.05,WK.06,WK.07,WK.08,WK.09,WK.10
6971-0009-05,PCBA X1312 T1 FENDER TAIL STOP TURN AF2L,0,0.0,0.0,0,000,0,0,2000.0,4400.0,4400.0,4400.0,4400.0,6000.0,6000.0,6000.0,6000.0,6000.0
6971-0010-05,PCBA X1312 T1 FENDER TAIL STOP TURN AF2R,0,0.0,0.0,0,000,0,0,2000.0,4400.0,4400.0,4400.0,4400.0,6000.0,6000.0,6000.0,6000.0,6000.0
6971-0011-02,PCBA X1312 T2 TAIL AD LH,112,0.0,0.0,112,00112,2034,2077,2079.0,2123.0,2200.0,2200.0,2200.0,4000.0,4000.0,4000.0,4000.0,4000.0
6971-0012-02,PCBA X1312 T2 TAIL AD RH,0,0.0,0.0,0,000,2414,2827,1063.0,2200.0,2200.0,2200.0,2200.0,4000.0,4000.0,4000.0,4000.0,4000.0
6971-0013-02,PCBA X1312 DP LOWER POS AD LH,0,0.0,0.0,0,000,2192,2104,1900.0,2200.0,2200.0,2200.0,2200.0,4000.0,4000.0,4000.0,4000.0,4000.0
6971-0014-02,PCBA X1312 DP LOWER  POS AD RH,0,0.0,0.0,0,000,3940,1030,2000.0,2200.0,2200.0,2200.0,2200.0,4000.0,4000.0,4000.0,4000.0,4000.0
6971-0015-02,PCBA X1312 DP Upper POS AD LH,0,0.0,0.0,0,000,2326,2235,1773.0,2200.0,2200.0,2200.0,2200.0,4000.0,4000.0,4000.0,4000.0,4000.0
6971-0016-02,PCBA X1312 DP Upper POS AD RH,0,0.0,0.0,0,000,3392,1304,2000.0,2200.0,2200.0,2200.0,2200.0,4000.0,4000.0,4000.0,4000.0,4000.0
6971-0017-02,PCBA X1312 HL LOWER DRL TI AD LH,0,0.0,20.0,               20-,020               20-,2100,3988,4000.0,4400.0,4400.0,4400.0,4400.0,6000.0,6000.0,6000.0,6000.0,6000.0
6971-0018-02,PCBA X1312 HL LOWER DRL TI AD RH,784,0.0,0.0,784,00784,3396,3910,4000.0,4400.0,4400.0,4400.0,4400.0,6000.0,6000.0,6000.0,6000.0,6000.0
6971-0019-02,PCBA X1312 HL UPPER DRL TI AD LH,0,0.0,0.0,0,000,5894,4225,4796.0,5196.0,5196.0,5196.0,5196.0,6796.0,6796.0,6796.0,6796.0,6796.0
6971-0020-02,PCBA X1312 HL UPPER DRL TI AD RH,0,0.0,0.0,0,000,5652,3982,4740.0,5140.0,5140.0,5140.0,5140.0,6740.0,6740.0,6740.0,6740.0,6740.0
